title,channel_name,views,subs,publish_time,channel_id,video_id
"한 번도 안본 사람은 있어도, 한 번만 본 사람은 없다는 레전드 꿀잼 드라마 [뷰티인사이드 몰아보기 part2]",고몽,804394,1960000,2022-05-21T01:00:10Z,UCpcft4FJXgUjnxWoQYsl7Ug,pMUKLfMzp8g
"240,300원→37,900원 (84%할인) 🎁 뷰마 찐템 박스 공개!",뷰티마우스,199959,352000,2022-05-17T10:56:39Z,UCE7q5DzYcRYWObUNIpdO70A,P4N-Nit1z4Q
요즘 잘 나가는 프로필 메이크업은 이렇게 합니다!ㅣ연예인 프로필 메이크업ㅣ역대급 콜라보 메이크업,옥뷰티 OK Beauty,61394,159000,2022-05-18T09:06:01Z,UCnHpEWXz2Ehirkc3wuFfUfw,zoKQabWIRjY
톱배우가 한 달에 한 번 잠적하는 이유 | 뷰티인사이드 1~4회 요약,DRAMA Voyage,7568,250000,2022-05-12T03:00:04Z,UCKuwp52MjSk-zeFRpchSheg,HLRKjsf_1mc
"sub) 청담동 메이크업샵 추천템 그대로 구매해봄 2탄..! (지속력 좋은 파운데이션, 가닥속눈썹 픽서, 고급진 하이라이터, 웨딩립조합)",뷰티숨BEAUTYSOOM,193907,133000,2022-05-04T13:22:29Z,UCLyq1gz11P-IYFmP093JaAw,m1HRv6Drh-Q
"sub) 메이크업샵 ASMR 청담동 100만원대 프라이빗 웨딩샵에서 퍼스널 웨딩 헤어,메이크업 받아봤어요! (ft.샵함경식)",뷰티숨BEAUTYSOOM,856200,133000,2022-04-09T08:56:42Z,UCLyq1gz11P-IYFmP093JaAw,eCvTCGzm0gI
🥚 달걀을 깼는데 이상한게 나왔어요.. | 힐링타임즈 EP.22 | [ASMR] Oddly Satisfying Cosmetic Destruction,뷰티포인트 Beauty Point,423584,1040000,2022-04-25T08:01:53Z,UC5tFmE4Z5X2sAtp4tNkjOfA,8dv6mAqYqzU
"상체 부해보이는 사람 특징? &quot;이 부분&quot;을 꼭 확인하세요!  (ft.박민영,지효,강미나) //셜록뷰티🔎",셜록뷰티 - 아름다움은 과학이다,656304,223000,2022-04-03T12:00:10Z,UCqwur42zcSwaGzfLpnEjHIA,QB-Jn2qHqVA
팔자주름 미세하게 펴짐..? 😱뷰티 디바이스만 10개이상 써보고 고른 Best5,yeondukong 연두콩,51376,719000,2022-04-01T12:19:02Z,UCAUbDYDwV34yk6pYiZg_CzA,PCt3vqhMp0g
SSSSSSS급 시간삭제 드라마 몰아보실래요? [JTBC 뷰티인사이드 part1],고몽,1492850,1960000,2022-05-12T03:00:17Z,UCpcft4FJXgUjnxWoQYsl7Ug,dWVPQSD1aHc
뷰티데이💖💫,예스리아 YESRIA,20091,251000,2022-05-15T11:00:25Z,UCHqkva52rIYNgXqSPOk60cQ,vzXUH4eOp3g
[메이플] 오로라 떡상에 유니온 확장!! 뷰티어워즈까지...!!!!,린레몬 메이플스토리,10219,4500,2022-05-22T13:18:52Z,UCW9s1gMoFUup84LVs-dYnQw,i6DiygTibDw
[랜선뷰티] &#39;방송최초!&#39; 쇼호스트 이수정의 쉿!크릿 럭셔리 하우스 공개!,Kstar,267,,2022-05-19T08:36:49Z,UCAIAn1gmUWEukE2e5BQ0Zew,BCVkZL8VUCU
"🔥요즘 핫한! 신상뷰티템 싹 다 모음.zip (봄웜팔레트 2종, 레오제이 브러쉬, 퓌 글래스 틴트, 헤라 실키 스테이 파데, 베이스 꿀조합, 진정 스킨케어 추천, 애교살 꿀템)",HOONION,65232,292000,2022-05-17T12:28:14Z,UC3ZQbE9FKR8TwHYqTNcIXQQ,Eo_UXSN6YDA
[뷰티 경력 22년] 신상리뷰ㅣ뉴 디올 어딕트 립스틱💄 케이스랑 컬러가 아주 미쳤어 🤩,백지수의 뷰티백과,7358,26400,2022-05-10T10:00:06Z,UCdehyf7mVGfdXaSxcIy0Vcg,5uaKONRAvbs
뷰티업계 1위🔥 대기업 직장인의 리얼 밥벌이 브이로그ㅣ6시 기상 루틴ㅣ올리브영 마케터ㅣ올리브영 전부 파헤쳐드림 :: WORK VLOG✍🏻,조효진 HYOJIN,494321,1780000,2022-05-02T06:09:38Z,UCuZu8NrpBG4WPXRi-hPBl-A,NnN7Lapnmtw
바닥 보여도 못 버려요..✌ (여자)아이들 미연의 뷰티 &#39;찐&#39; 애장품 🌸 #ELLE네이름택 | ELLE KOREA #drive,엘르 코리아_ELLE KOREA,276275,273000,2022-05-02T10:00:12Z,UCchRZl7m_2EZgY60m9qNPDg,f0IGLrgKjwM
🌼봄봄한 코디부터〰️따끈따끈한 신상 뷰티템들과 함께하는 겟레디🍒 :: 채소(CHAESO),CHAESO 채소,54764,184000,2022-04-16T14:21:52Z,UCKyF_OgFAv5ZFSPGzMpoKxA,dPKz6XhLR1Q
[올리브영 꿀템 추천] 뷰티 고인물은 올리브영 가서 뭘 사냐면 말이지... / 깡나,집 팔아 화장품 사는 깡나,68607,147000,2022-04-20T10:52:39Z,UCxthUNFu-GWQZ0YE9AnIetg,cU6gQgFdJXA
이걸 듣고 &#39;어머머&#39;하면 미혼이여~ 조용히 수다떨며💋 아르마니 뷰티 립마에스트로,YOOTRUE ON AIR,88056,422000,2022-05-18T14:06:07Z,UCZCvbWrBFGQeZwf5qczqLFg,hbZIMQlWiG8
뷰티회사와는 완전 다른갬성인 패션회사 사장님 가방&amp;파우치 털기 :: What’s in Fashion CEO’s Bag?,조효진 HYOJIN,71854,1780000,2022-05-18T10:56:19Z,UCuZu8NrpBG4WPXRi-hPBl-A,8QGf7QmgrWw
갓기 주나니에서 준환 선배로ㅣ뷰티쁠(BEAUTY+),beautypl,2652,102000,2022-05-20T09:00:08Z,UCRWssU-cbbCmyujhQhWBZmA,C3zvungN0h8
