조사년월,동태코드,물가지수,가중치
2015-01-01,307124AA,100,1
2015-01-01,311132AA,99,1
2015-01-01,3051AA,92,1
2015-01-01,309112AA,105,1
2015-01-01,3057AA,98,1
2015-01-01,10141AA,97,1
2015-01-01,30911AA,104,1
2015-01-01,30952AA,97,1
2015-01-01,3093AA,99,1
2015-01-01,3096AA,98,1
2015-01-01,304122AA,79,1
2015-01-01,1014AA,101,1
2015-01-01,30714AA,106,1
2015-01-01,305611AA,99,1
2015-01-01,301AA,98,1
2015-01-01,30531AA,99,1
2015-01-01,309512AA,100,1
2015-01-01,31111AA,98,1
2015-01-01,31016AA,98,1
2015-01-01,310AA,98,1
2015-01-01,3101AA,98,1
2015-01-01,310161AA,97,1
2015-01-01,30551AA,99,1
2015-01-01,307121AA,104,1
2015-01-01,311121AA,96,1
2015-01-01,309321AA,100,1
2015-01-01,30932AA,100,1
2015-01-01,31115AA,97,1
2015-01-01,308142AA,0,1
2015-01-01,3091AA,104,1
2015-01-01,30712AA,108,1
2015-01-01,305811AA,98,1
2015-01-01,3071AA,106,1
2015-01-01,303221AA,98,1
2015-01-01,3072AA,106,1
2015-01-01,31011AA,98,1
2015-01-01,30711AA,96,1
2015-01-01,304131AA,103,1
2015-01-01,3081AA,100,1
2015-01-01,3131AA,97,1
2015-01-01,310163AA,98,1
2015-01-01,30941AA,98,1
2015-01-01,305212AA,103,1
2015-01-01,312112AA,96,1
2015-01-01,313113AA,97,1
2015-01-01,30921AA,103,1
2015-01-01,31014AA,98,1
2015-01-01,3094AA,98,1
2015-01-01,307122AA,101,1
2015-01-01,313112AA,98,1
2015-01-01,307141AA,106,1
2015-01-01,309311AA,98,1
2015-01-01,310131AA,99,1
2015-01-01,30322AA,98,1
2015-01-01,3022AA,97,1
2015-01-01,310122AA,98,1
2015-01-01,304128AA,106,1
2015-01-01,10112AA,97,1
2015-01-01,101AA,100,1
2015-01-01,101421AA,101,1
2015-01-01,311161AA,96,1
2015-01-01,3111AA,97,1
2015-01-01,309412AA,100,1
2015-01-01,30931AA,98,1
2015-01-01,311162AA,98,1
2015-01-01,302132AA,98,1
2015-01-01,301142AA,110,1
2015-01-01,31312AA,96,1
2015-01-01,30962AA,96,1
2015-01-01,309413AA,97,1
2015-01-01,1011AA,97,1
2015-01-01,307112AA,96,1
2015-01-01,30722AA,105,1
2015-01-01,309AA,102,1
2015-01-01,305211AA,98,1
2015-01-01,308AA,100,1
2015-01-01,3052AA,99,1
2015-01-01,31113AA,97,1
2015-01-01,3011AA,98,1
2015-01-01,30624AA,97,1
2015-01-01,3053AA,99,1
2015-01-01,30951AA,99,1
2015-01-01,30117AA,0,1
2015-01-01,31124AA,98,1
2015-01-01,311256AA,97,1
2015-01-01,304AA,92,1
2015-01-01,101411AA,97,1
2015-01-01,308143AA,97,1
2015-01-01,305622AA,98,1
2015-01-01,309211AA,103,1
2015-01-01,310141AA,98,1
2015-01-01,307131AA,104,1
2015-01-01,30571AA,96,1
2015-01-01,305711AA,96,1
2015-01-01,302AA,97,1
2015-01-01,31112AA,96,1
2015-01-01,305311AA,99,1
2015-01-01,312113AA,96,1
2015-01-01,30114AA,110,1
2015-01-01,31116AA,97,1
2015-01-01,311131AA,96,1
2015-01-01,305112AA,88,1
2015-01-01,302145AA,98,1
2015-01-01,302142AA,96,1
2015-01-01,30212AA,98,1
2015-01-01,304123AA,94,1
2015-01-01,307125AA,115,1
2015-01-01,30713AA,104,1
2015-01-01,31114AA,96,1
2015-01-01,310153AA,99,1
2015-01-01,302111AA,102,1
2015-01-01,301311AA,96,1
2015-01-01,307214AA,109,1
2015-01-01,310121AA,96,1
2015-01-01,311212AA,98,1
2015-01-01,307127AA,110,1
2015-01-01,30512AA,0,1
2015-01-01,308146AA,98,1
2015-01-01,306221AA,95,1
2015-01-01,307213AA,105,1
2015-01-01,307211AA,101,1
2015-01-01,31015AA,97,1
2015-01-01,310124AA,0,1
2015-01-01,30721AA,107,1
2015-01-01,305122AA,0,1
2015-01-01,31211AA,97,1
2015-01-01,305631AA,96,1
2015-01-01,302211AA,99,1
2015-01-01,31125AA,97,1
2015-01-01,304125AA,93,1
2015-01-01,31122AA,97,1
2015-01-01,312111AA,97,1
2015-01-01,3AA,99,1
2015-01-01,308113AA,0,1
2015-01-01,30562AA,98,1
2015-01-01,305722AA,100,1
2015-01-01,302213AA,0,1
2015-01-01,307222AA,106,1
2015-01-01,311111AA,98,1
2015-01-01,30811AA,103,1
2015-01-01,308112AA,103,1
2015-01-01,31012AA,97,1
2015-01-01,31013AA,99,1
2015-01-01,306AA,96,1
2015-01-01,309522AA,96,1
2015-01-01,310123AA,97,1
2015-01-01,311241AA,98,1
2015-01-01,30511AA,92,1
2015-01-01,305AA,96,1
2015-01-01,3056AA,100,1
2015-01-01,310151AA,96,1
2015-01-01,3062AA,96,1
2015-01-01,3054AA,0,1
2015-01-01,30413AA,101,1
2015-01-01,30521AA,99,1
2015-01-01,309622AA,0,1
2015-01-01,309611AA,97,1
2015-01-01,312132AA,96,1
2015-01-01,3013AA,96,1
2015-01-01,307113AA,96,1
2015-01-01,30541AA,0,1
2015-01-01,310111AA,98,1
2015-01-01,30581AA,98,1
2015-01-01,311151AA,97,1
2015-01-01,30561AA,99,1
2015-01-01,309212AA,0,1
2015-01-01,305411AA,0,1
2015-01-01,309513AA,96,1
2015-01-01,309521AA,99,1
2015-01-01,303AA,98,1
2015-01-01,312121AA,0,1
2015-01-01,304124AA,94,1
2015-01-01,3041AA,92,1
2015-01-01,304132AA,99,1
2015-01-01,30814AA,99,1
2015-01-01,30961AA,98,1
2015-01-01,31213AA,96,1
2015-01-01,30214AA,96,1
2015-01-01,302123AA,98,1
2015-01-01,30115AA,94,1
2015-01-01,313126AA,96,1
2015-01-01,3092AA,103,1
2015-01-01,306243AA,97,1
2015-01-01,307221AA,105,1
2015-01-01,302133AA,99,1
2015-01-01,311AA,97,1
2015-01-01,304126AA,91,1
2015-01-01,304121AA,82,1
2015-01-01,305111AA,80,1
2015-01-01,305621AA,100,1
2015-01-01,30211AA,102,1
2015-01-01,30622AA,95,1
2015-01-01,30221AA,97,1
2015-01-01,30213AA,99,1
2015-01-01,3112AA,98,1
2015-01-01,30412AA,91,1
2015-01-01,309111AA,96,1
2015-01-01,312131AA,97,1
2015-01-01,3121AA,97,1
2015-01-01,101122AA,97,1
2015-01-01,307AA,106,1
2015-01-01,308144AA,102,1
2015-01-01,3058AA,98,1
2015-01-01,302214AA,96,1
2015-01-01,301173AA,0,1
2015-01-01,30112AA,99,1
2015-01-01,31121AA,98,1
2015-01-01,30572AA,102,1
2015-01-01,3032AA,98,1
2015-01-01,307215AA,123,1
2015-01-01,309612AA,101,1
2015-01-01,3095AA,99,1
2015-01-01,313AA,97,1
2015-01-01,305511AA,99,1
2015-01-01,302121AA,98,1
2015-01-01,301152AA,94,1
2015-01-01,311242AA,96,1
2015-01-01,311221AA,97,1
2015-01-01,305113AA,94,1
2015-01-01,31311AA,97,1
2015-01-01,311141AA,96,1
2015-01-01,302141AA,97,1
2015-01-01,311211AA,97,1
2015-01-01,10142AA,101,1
2015-01-01,3055AA,99,1
2015-01-01,3021AA,97,1
2015-01-01,_AA,99,1
2015-01-01,312AA,97,1
2015-01-01,301121AA,99,1
2015-01-01,30563AA,100,1
2015-01-01,305633AA,101,1
2015-01-01,30131AA,96,1
2015-01-01,305114AA,106,1
2015-01-01,31212AA,0,1
2015-01-01,1AA,100,1
2015-02-01,30712AA,106,1
2015-02-01,305811AA,99,1
2015-02-01,3071AA,105,1
2015-02-01,303221AA,99,1
2015-02-01,3072AA,104,1
2015-02-01,31011AA,99,1
2015-02-01,30711AA,97,1
