조사년월,동태코드,물가지수,가중치
2015-01-01,30511202AA,90,1
2015-01-01,30521110AA,98,1
2015-01-01,30931101AA,98,1
2015-01-01,30722104AA,102,1
2015-01-01,30581102AA,97,1
2015-01-01,31213203AA,99,1
2015-01-01,30551101AA,99,1
2015-01-01,31211101AA,101,1
2015-01-01,30932101AA,100,1
2015-01-01,31311301AA,97,1
2015-01-01,31011101AA,99,1
2015-01-01,31012101AA,96,1
2015-01-01,30521103AA,105,1
2015-01-01,30721402AA,104,1
2015-01-01,30214103AA,97,1
2015-01-01,30413201AA,99,1
2015-01-01,10141101AA,97,1
2015-01-01,31312601AA,96,1
2015-01-01,31213204AA,97,1
2015-01-01,30511203AA,88,1
2015-01-01,31011102AA,97,1
2015-01-01,30952101AA,99,1
2015-01-01,31116101AA,96,1
2015-01-01,31121203AA,99,1
2015-01-01,30721101AA,101,1
2015-01-01,30714101AA,106,1
2015-01-01,30213302AA,97,1
2015-01-01,30213301AA,100,1
2015-01-01,30511304AA,79,1
2015-01-01,30961102AA,97,1
2015-01-01,30951302AA,96,1
2015-01-01,31016101AA,97,1
2015-01-01,30714103AA,108,1
2015-01-01,30713101AA,112,1
2015-01-01,30712502AA,122,1
2015-01-01,31016301AA,98,1
2015-01-01,30412501AA,93,1
2015-01-01,30511201AA,86,1
2015-01-01,31112102AA,96,1
2015-01-01,30521106AA,104,1
2015-01-01,30511101AA,76,1
2015-01-01,30412401AA,94,1
2015-01-01,30511301AA,90,1
2015-01-01,31125601AA,97,1
2015-01-01,31121101AA,97,1
2015-01-01,30521109AA,97,1
2015-01-01,30521104AA,91,1
2015-01-01,30921103AA,100,1
2015-01-01,30714104AA,108,1
2015-01-01,30722103AA,108,1
2015-01-01,30721401AA,103,1
2015-01-01,30213201AA,98,1
2015-01-01,30571103AA,102,1
2015-01-01,31311201AA,98,1
2015-01-01,30713102AA,108,1
2015-01-01,30511102AA,87,1
2015-01-01,30941301AA,98,1
2015-01-01,30713103AA,99,1
2015-01-01,31213207AA,98,1
2015-01-01,30562201AA,98,1
2015-01-01,31113201AA,99,1
2015-01-01,31113101AA,96,1
2015-01-01,30814401AA,98,1
2015-01-01,30712101AA,104,1
2015-01-01,31213201AA,96,1
2015-01-01,30562101AA,100,1
2015-01-01,30521101AA,93,1
2015-01-01,31211105AA,96,1
2015-01-01,31124101AA,98,1
2015-01-01,30921101AA,103,1
2015-01-01,30811201AA,103,1
2015-01-01,30221401AA,96,1
2015-01-01,30951201AA,100,1
2015-01-01,31122102AA,97,1
2015-01-01,31012201AA,98,1
2015-01-01,30722202AA,101,1
2015-01-01,30571105AA,97,1
2015-01-01,31213101AA,97,1
2015-01-01,30511305AA,89,1
2015-01-01,31111101AA,97,1
2015-01-01,30115201AA,94,1
2015-01-01,30112101AA,100,1
2015-01-01,30511402AA,101,1
2015-01-01,30521201AA,113,1
2015-01-01,30561101AA,99,1
2015-01-01,30961101AA,96,1
2015-01-01,30952201AA,96,1
2015-01-01,31121201AA,98,1
2015-01-01,30911104AA,97,1
2015-01-01,30911101AA,96,1
